iso3c,year,e_gdppc
BRA,2002,8.938
BRA,2003,9.051
BRA,2004,9.297
BRA,2005,9.577
BRA,2006,9.98
BRA,2007,10.469
BRA,2008,10.977
BRA,2009,11.328
BRA,2010,12.03
BRA,2011,12.518
BRA,2012,12.763
BRA,2013,12.86
BRA,2014,12.782
BRA,2015,12.504
BRA,2016,11.999
BRA,2017,11.864
BRA,2018,11.888
BRA,2019,11.757
BRA,2020,NA
BRA,2021,NA
USA,1980,33.132
USA,1981,33.286
USA,1982,33.14
USA,1983,34.138
USA,1984,35.674
USA,1985,36.75
USA,1986,37.846
USA,1987,38.917
USA,1988,39.853
USA,1989,40.848
USA,1990,40.912
USA,1991,40.38
USA,1992,40.875
USA,1993,41.673
USA,1994,42.456
USA,1995,43.24
USA,1996,44.086
USA,1997,45.641
USA,1998,47.015
USA,1999,48.699
USA,2000,49.628
USA,2001,50.111
USA,2002,50.526
USA,2003,51.333
USA,2004,52.472
USA,2005,53.486
USA,2006,54.076
USA,2007,54.133
USA,2008,53.754
USA,2009,52.798
USA,2010,52.919
USA,2011,53.201
USA,2012,53.696
USA,2013,54.494
USA,2014,55.38
USA,2015,56.666
USA,2016,57.62
USA,2017,58.459
USA,2018,59.622
USA,2019,60.641
USA,2020,NA
USA,2021,NA
PRT,1980,12.441
PRT,1981,12.584
PRT,1982,12.734
PRT,1983,12.668
PRT,1984,12.61
PRT,1985,12.886
PRT,1986,13.602
PRT,1987,14.48
PRT,1988,15.49
PRT,1989,16.553
PRT,1990,17.532
PRT,1991,18.425
PRT,1992,18.918
PRT,1993,19.052
PRT,1994,19.342
PRT,1995,20.082
PRT,1996,20.841
PRT,1997,21.676
PRT,1998,22.732
PRT,1999,23.475
PRT,2000,24.1
PRT,2001,24.541
PRT,2002,24.855
PRT,2003,24.821
PRT,2004,25.028
PRT,2005,25.386
PRT,2006,25.762
PRT,2007,26.147
PRT,2008,26.33
PRT,2009,26.104
PRT,2010,26.006
PRT,2011,25.722
PRT,2012,25.211
PRT,2013,25.151
PRT,2014,25.472
PRT,2015,25.972
PRT,2016,26.628
PRT,2017,27.524
PRT,2018,28.336
PRT,2019,28.813
PRT,2020,NA
PRT,2021,NA
SLV,1980,2.103
SLV,1981,1.953
SLV,1982,1.875
SLV,1983,1.847
SLV,1984,1.859
SLV,1985,1.891
SLV,1986,1.914
SLV,1987,1.937
SLV,1988,1.971
SLV,1989,2.017
SLV,1990,2.123
SLV,1991,2.22
SLV,1992,2.36
SLV,1993,2.5
SLV,1994,2.674
SLV,1995,2.831
SLV,1996,2.931
SLV,1997,3.038
SLV,1998,3.152
SLV,1999,3.233
SLV,2000,3.329
SLV,2001,3.42
SLV,2002,3.519
SLV,2003,3.652
SLV,2004,3.758
SLV,2005,3.939
SLV,2006,4.141
SLV,2007,4.311
SLV,2008,4.433
